,aveTimeLoss,aveTravelTime,vehsum,meanstop,seed,ecoph,type
0,30.44762086300799,44.42846889017334,2387,0.7641390867197319,9356,0,DQN
0,36.17844696969687,50.15792646381542,2376,0.8686868686868687,9356,0,fixedtime
0,32.82715316827525,46.80511779675833,2383,0.7574485942089803,9356,0,actuate
0,29.721794043624186,43.684719371367954,2384,0.7562919463087249,6108,1,DQN
0,41.41177501055297,55.373027896350465,2369,0.9510341916420431,6108,1,fixedtime
0,32.961428331231645,46.92218817813722,2379,0.757040773434216,6108,1,actuate
0,30.53022841575862,44.534051393400624,2386,0.7669740150880134,7512,2,DQN
0,36.69661389473692,50.70459450072091,2375,0.8766315789473684,7512,2,fixedtime
0,32.935708892617434,46.94241971916709,2384,0.7625838926174496,7512,2,actuate
0,30.65972380553227,44.67460913348324,2386,0.7678122380553227,9951,3,DQN
0,39.462859612141706,53.47271813047469,2372,0.9215851602023609,9951,3,fixedtime
0,32.72801427971441,46.739694982785515,2381,0.751364972700546,9951,3,actuate
0,30.5334641208561,44.568384699043065,2383,0.7691984892992026,8844,4,DQN
0,36.87737936842106,50.920364573465626,2375,0.8808421052631579,8844,4,fixedtime
0,32.67916624685141,46.71828320420912,2382,0.7670025188916877,8844,4,actuate
0,30.75407669740151,44.740619131702616,2386,0.7711651299245599,6358,5,DQN
0,38.152428752107916,52.13352362816083,2372,0.9026138279932546,6358,5,fixedtime
0,33.32591187578671,47.31252935312611,2383,0.7654217373059169,6358,5,actuate
0,30.475543240974055,44.413512133531924,2382,0.7682619647355163,5934,6,DQN
0,38.589459140690785,52.53303895471991,2374,0.9035383319292334,5934,6,fixedtime
0,32.548309533809395,46.48944804361795,2381,0.759764804703906,5934,6,actuate
0,30.720083368244648,44.69097273513618,2387,0.7720988688730624,63,7,DQN
0,43.37899281791304,57.33726054497108,2367,0.975496408956485,63,7,fixedtime
0,33.290094196804084,47.263865593332504,2378,0.7544154751892347,63,7,actuate
0,30.521011339773175,44.574173669114955,2381,0.7639647207055859,1816,8,DQN
0,37.67470670037929,51.728367752153055,2373,0.8954909397387274,1816,8,fixedtime
0,32.89583137583892,46.94777494454971,2384,0.7575503355704698,1816,8,actuate
0,30.630152137468592,44.69207759172903,2386,0.767393126571668,2637,9,DQN
0,36.310209684210506,50.37099620296672,2375,0.8741052631578947,2637,9,fixedtime
0,32.876154297693944,46.93918302443629,2385,0.7593291404612159,2637,9,actuate
0,30.343302559798516,44.33054100435658,2383,0.7595467897608057,4108,10,DQN
0,44.39370595690751,58.380075364400774,2367,0.9940853400929447,4108,10,fixedtime
0,32.798018059638814,46.7904225202138,2381,0.758504829903402,4108,10,actuate
0,30.637271165129967,44.65330514316975,2386,0.7728415758591786,2743,11,DQN
0,39.243658649788976,53.25909736601277,2370,0.9172995780590717,2743,11,fixedtime
0,32.7875794549266,46.80977736606685,2385,0.7593291404612159,2743,11,actuate
0,30.900591614255823,44.9243790229768,2385,0.770230607966457,3305,12,DQN
0,38.77670008424595,52.79720363435245,2374,0.9119629317607414,3305,12,fixedtime
0,32.6223198992443,46.63965202615241,2382,0.7565071368597817,3305,12,actuate
0,30.322072475911177,44.33146917727342,2387,0.7561793045664014,7575,13,DQN
0,41.252286196707345,55.26390698316837,2369,0.9485014774166315,7575,13,fixedtime
0,32.84832718120808,46.855415763366956,2384,0.7600671140939598,7575,13,actuate
0,30.52238113207552,44.52565625429471,2385,0.759748427672956,1517,14,DQN
0,42.78562130177517,56.7784946284304,2366,0.9691462383770076,1517,14,fixedtime
0,32.78502813943714,46.784157306018216,2381,0.7622847543049139,1517,14,actuate
0,30.57650482584969,44.624773432683675,2383,0.760805707091901,4122,15,DQN
0,37.838495784148385,51.88188933883801,2372,0.897133220910624,4122,15,fixedtime
0,32.57047478991596,46.62323234312456,2380,0.761344537815126,4122,15,actuate
0,30.62066190676183,44.62661695636285,2381,0.7690046199076018,5361,16,DQN
0,37.04142364324784,51.042728493214085,2377,0.8834665544804375,5361,16,fixedtime
0,33.05681108312341,47.058916703679785,2382,0.760705289672544,5361,16,actuate
0,30.639906119027756,44.64814641564807,2386,0.7661357921207042,9191,17,DQN
0,42.684745354729756,56.687398640094706,2368,0.965793918918919,9191,17,fixedtime
0,32.77350881612094,46.777980800466814,2382,0.7636439966414778,9191,17,actuate
0,30.689327318506066,44.65621978782146,2383,0.7771716323961393,8493,18,DQN
0,32.673972654606665,46.635462153921765,2377,0.8186790071518721,8493,18,fixedtime
0,32.81538225399502,46.785515458471465,2378,0.7678721614802355,8493,18,actuate
0,30.682850902981965,44.7636486013907,2381,0.7765644687106258,7782,19,DQN
0,36.19511658249155,50.27090151147494,2376,0.8766835016835017,7782,19,fixedtime
0,33.17813613445386,47.2570712435442,2380,0.7609243697478991,7782,19,actuate
