,episodes,reward
0,0,2799.875
1,1,3566.25
2,2,3674.875
3,3,4666.375
4,4,4193.125
5,5,3649.625
6,6,3746.0
7,7,4238.875
8,8,4016.5
9,9,4062.5
10,10,4319.5
11,11,4994.0
12,12,4745.0
13,13,5083.75
14,14,4866.375
15,15,4943.0
16,16,5136.0
17,17,4505.0
18,18,4509.5
19,19,4674.5
20,20,4869.0
21,21,4629.0
22,22,5285.0
23,23,4962.0
24,24,4826.0
25,25,5322.0
26,26,4974.0
27,27,5178.5
28,28,5459.5
29,29,5453.5
30,30,5443.0
31,31,5188.0
32,32,5572.5
33,33,5313.0
34,34,5380.5
35,35,5357.5
36,36,5301.5
37,37,5201.0
38,38,4772.5
39,39,4939.5
40,40,5482.875
41,41,5370.5
42,42,5575.5
43,43,5480.625
44,44,4729.0
45,45,4671.5
46,46,4629.0
47,47,4970.5
48,48,4827.5
49,49,5054.5
50,50,5346.5
51,51,4899.5
52,52,5051.0
53,53,5108.0
54,54,5512.0
55,55,5093.5
56,56,5110.0
57,57,5485.5
58,58,5421.5
59,59,5554.0
60,60,3984.125
61,61,3952.25
62,62,5697.875
63,63,4877.5
64,64,5188.0
65,65,4429.5
66,66,5067.0
67,67,4906.5
68,68,5012.5
69,69,4910.5
70,70,4811.5
71,71,4828.0
72,72,5016.25
73,73,6372.25
74,74,5051.125
75,75,3018.375
76,76,2694.5
77,77,3172.75
78,78,3648.0
79,79,4403.125
80,80,4616.5
81,81,4008.375
82,82,4800.625
83,83,4912.125
84,84,5149.125
85,85,5202.875
86,86,4189.625
87,87,5071.125
88,88,5348.5
89,89,5396.625
90,90,4593.375
91,91,5044.0
92,92,5408.875
93,93,5205.0
94,94,4841.5
95,95,5463.0
96,96,4577.0
97,97,4794.0
98,98,4899.0
99,99,4860.0
100,100,4905.5
101,101,5243.5
102,102,4869.0
103,103,4888.0
104,104,5030.0
105,105,5273.0
106,106,5120.0
107,107,5061.0
108,108,5316.0
109,109,5282.5
110,110,4942.0
111,111,5084.0
112,112,5159.5
113,113,5266.5
114,114,5292.0
115,115,4886.0
116,116,5274.5
117,117,5279.0
118,118,5281.0
119,119,5234.0
120,120,4991.5
121,121,5129.5
122,122,5263.0
123,123,5095.5
124,124,4986.0
125,125,5168.0
126,126,5086.0
127,127,5093.0
128,128,5572.5
129,129,4859.0
130,130,5458.5
131,131,5155.0
132,132,5040.0
133,133,5199.0
134,134,4946.5
135,135,5526.5
136,136,5255.0
137,137,4924.5
138,138,5334.5
139,139,5421.5
140,140,5099.0
141,141,5113.5
142,142,5036.0
143,143,5341.5
144,144,5355.0
145,145,5582.5
146,146,5117.5
147,147,5544.0
148,148,5507.0
149,149,5132.5
150,150,5539.0
151,151,4941.5
152,152,5177.5
153,153,5256.5
154,154,5038.0
155,155,5247.5
156,156,4982.5
157,157,5390.5
158,158,5328.0
159,159,4994.0
160,160,5267.0
161,161,5191.0
162,162,5011.0
163,163,5279.0
164,164,5201.0
165,165,5112.0
166,166,5583.5
167,167,5461.0
168,168,5196.5
169,169,5591.5
170,170,4825.5
171,171,5279.5
172,172,5265.0
173,173,5211.0
174,174,5118.0
175,175,5043.0
176,176,5183.0
177,177,5246.5
178,178,5084.0
179,179,5010.0
180,180,5150.0
181,181,5585.0
182,182,5269.0
183,183,5153.5
184,184,5279.0
185,185,5303.5
186,186,5208.5
187,187,5250.5
188,188,4882.0
189,189,4901.0
190,190,4819.0
191,191,5566.5
192,192,5262.5
193,193,5259.0
194,194,4845.5
195,195,5069.0
196,196,5834.5
197,197,4952.5
198,198,5544.0
199,199,5199.5
200,200,5479.5
201,201,5211.5
202,202,5139.0
203,203,5310.0
204,204,4994.5
205,205,4871.5
206,206,5508.125
207,207,5434.0
208,208,5195.5
209,209,5223.5
210,210,5256.5
211,211,5248.5
212,212,5629.5
213,213,5095.0
214,214,5202.5
215,215,4835.0
216,216,5200.5
217,217,4755.5
218,218,5496.0
219,219,5134.0
220,220,5070.0
221,221,4864.5
222,222,5580.0
223,223,5520.5
224,224,5410.0
225,225,4890.0
226,226,4911.5
227,227,5358.0
228,228,5168.5
229,229,5216.0
230,230,5171.0
231,231,5545.0
232,232,5018.0
233,233,5459.0
234,234,5243.0
235,235,5528.5
236,236,5239.5
