,iteration,loss
0,0,445.6831
1,1,770004.94
2,2,4841240.0
3,3,4330638.0
4,4,1006058.94
5,5,4240160.0
6,6,12066430.0
7,7,8407220.0
8,8,1229947.9
9,9,767059.1
10,10,2036061.2
11,11,1819275.1
12,12,514225.22
13,13,555365.1
14,14,1986144.5
15,15,1372349.2
16,16,65001.746
17,17,741785.0
18,18,1348015.6
19,19,961624.0
20,20,104370.234
21,21,862854.56
22,22,2126460.0
23,23,1452981.6
24,24,123615.19
25,25,523419.9
26,26,1162223.8
27,27,929934.25
28,28,156580.78
29,29,514906.97
30,30,1363469.6
31,31,809935.4
32,32,6490.4644
33,33,602556.94
34,34,937251.1
35,35,579998.94
36,36,178504.22
37,37,586778.3
38,38,614791.56
39,39,129820.055
40,40,403410.38
41,41,207111.62
42,42,22636.77
43,43,156298.73
44,44,194515.25
45,45,120458.52
46,46,104263.42
47,47,85452.81
48,48,33472.1
49,49,69637.164
50,50,61040.918
51,51,16403.71
52,52,34450.652
53,53,22522.07
54,54,40999.79
55,55,39954.598
56,56,20539.074
57,57,15606.377
58,58,6202.339
59,59,14576.284
60,60,5927.7207
61,61,9455.105
62,62,4369.196
63,63,11940.343
64,64,3384.1746
65,65,16812.232
66,66,10182.885
67,67,10840.667
68,68,10201.127
69,69,14425.43
70,70,8080.678
71,71,10995.598
72,72,7306.243
73,73,8886.407
74,74,6412.5894
75,75,7576.2354
76,76,6591.071
77,77,8113.759
78,78,4467.393
79,79,10759.21
80,80,8320.328
81,81,79393.1
82,82,36961.707
83,83,20217.367
84,84,39004.27
85,85,10460.333
86,86,18545.004
87,87,30727.453
88,88,5090.663
89,89,13449.643
90,90,4220.0947
91,91,13037.871
92,92,6237.317
93,93,13653.472
94,94,11451.716
95,95,7353.058
96,96,8218.459
97,97,6897.7334
98,98,6402.253
99,99,7467.5166
100,100,4162.7583
101,101,9523.448
102,102,2724.1328
103,103,14186.787
104,104,1969.475
105,105,19618.756
106,106,4017.817
107,107,24794.314
108,108,4071.8247
109,109,29116.707
110,110,6799.411
111,111,29114.35
112,112,6710.7637
113,113,28272.188
114,114,11693.865
115,115,23379.766
116,116,12596.753
117,117,21527.691
118,118,14912.876
119,119,15188.456
120,120,11707.657
121,121,95335.41
122,122,78715.43
123,123,19065.95
124,124,17712.945
125,125,24400.436
126,126,57000.324
127,127,53592.434
128,128,35049.953
129,129,23707.004
130,130,4592.112
131,131,8046.6094
132,132,12605.01
133,133,21051.393
134,134,14672.203
135,135,6195.45
136,136,4074.0396
137,137,5597.1846
138,138,12691.35
139,139,6287.1245
140,140,6613.2144
141,141,4254.303
142,142,8929.355
143,143,7671.6753
144,144,7533.052
145,145,3540.6646
146,146,10503.406
147,147,9612.911
148,148,7071.6533
149,149,3237.6804
150,150,9328.145
151,151,5829.029
152,152,13997.289
153,153,2330.9153
154,154,19898.145
155,155,7344.1377
156,156,17294.613
157,157,11632.989
158,158,9476.611
159,159,13507.275
160,160,3996.4993
161,161,809073.6
162,162,270197.97
163,163,354365.75
164,164,868206.75
165,165,519161.44
166,166,8830.714
167,167,350162.3
168,168,558717.9
169,169,247238.55
170,170,42158.727
171,171,296763.44
172,172,173144.34
173,173,23524.754
174,174,164135.14
175,175,52191.836
176,176,41715.31
177,177,90193.61
178,178,9817.685
179,179,82650.1
180,180,85888.65
181,181,4730.377
182,182,130761.97
183,183,89194.28
184,184,5797.0635
185,185,61399.344
186,186,20278.77
187,187,38836.344
188,188,35304.973
189,189,13357.785
190,190,33374.395
191,191,6561.0947
192,192,11122.906
193,193,12457.874
194,194,7445.7275
195,195,27540.21
196,196,1624.294
197,197,51164.664
198,198,7224.231
199,199,81974.516
200,200,2340.288
201,201,380210.38
202,202,196904.78
203,203,392947.34
204,204,497771.8
205,205,99254.33
206,206,357637.2
207,207,526203.4
208,208,182478.78
209,209,258540.73
210,210,588624.2
211,211,296190.9
212,212,253829.67
213,213,406912.84
214,214,160141.78
215,215,267765.97
216,216,417929.2
217,217,77116.95
218,218,220065.81
219,219,420508.06
220,220,177228.78
221,221,155545.25
222,222,347412.9
223,223,103756.19
224,224,180243.94
225,225,248369.58
226,226,41414.785
227,227,325315.66
228,228,503396.12
229,229,132988.28
230,230,218707.94
231,231,436800.6
232,232,196107.83
233,233,102314.07
234,234,202462.75
235,235,30300.633
236,236,150064.86
237,237,128965.62
238,238,15551.654
239,239,61796.418
240,240,10216.525
241,241,217409.75
242,242,217197.48
243,243,146733.19
244,244,46565.09
245,245,43552.434
246,246,17593.629
247,247,63073.133
248,248,72038.23
249,249,110234.6
250,250,56984.375
251,251,88095.95
252,252,30109.838
253,253,58076.133
254,254,35627.746
255,255,58831.867
256,256,52784.242
257,257,56002.887
258,258,39706.902
259,259,30819.123
260,260,18709.033
261,261,33960.71
262,262,11802.771
263,263,55553.86
264,264,18904.043
265,265,72971.3
266,266,18729.234
267,267,66205.336
268,268,26993.244
269,269,73645.24
270,270,57529.742
271,271,50244.66
272,272,49829.152
273,273,48688.793
274,274,34155.156
275,275,59768.934
276,276,31753.107
277,277,57332.234
278,278,26696.375
279,279,63603.082
280,280,37989.277
281,281,94672.31
282,282,164997.4
283,283,53788.996
284,284,102010.39
285,285,66632.83
286,286,62158.234
287,287,84367.64
288,288,54128.727
289,289,78701.805
290,290,37606.613
291,291,55401.555
292,292,21721.14
293,293,21504.916
294,294,16744.117
295,295,8772.239
296,296,33076.027
297,297,15237.274
298,298,51223.145
299,299,15622.041
300,300,67553.695
301,301,12727.998
302,302,91936.445
303,303,51376.35
304,304,83986.8
305,305,94749.85
306,306,24256.822
307,307,58962.867
308,308,18741.0
309,309,20919.268
310,310,21114.77
311,311,3330.019
312,312,46015.293
313,313,7386.6016
314,314,83877.484
315,315,16262.001
316,316,110053.945
317,317,74399.09
318,318,46911.19
319,319,47028.227
320,320,44706.07
321,321,200420.19
322,322,27492.32
323,323,166799.03
324,324,204993.39
325,325,37327.234
326,326,130997.266
327,327,243279.28
328,328,59841.875
329,329,88716.58
330,330,177612.94
331,331,59159.17
332,332,68258.8
333,333,138002.72
334,334,21436.855
335,335,80509.4
336,336,111584.02
337,337,11039.439
338,338,113509.94
339,339,136896.55
340,340,6936.2544
341,341,107510.7
342,342,138337.78
343,343,16756.002
344,344,110016.47
345,345,165537.94
346,346,20451.482
347,347,78893.99
348,348,129476.67
349,349,20769.8
350,350,79116.77
351,351,119376.84
352,352,8757.838
353,353,88637.11
354,354,117075.48
355,355,10387.439
356,356,100755.36
357,357,144088.08
358,358,11721.988
359,359,83968.945
360,360,122968.75
361,361,20564.646
362,362,26288.658
363,363,4433.742
364,364,8053.922
365,365,2099.0732
366,366,1930.0779
367,367,10335.8
368,368,3794.009
369,369,27140.547
370,370,9011.271
371,371,18263.824
372,372,23411.238
373,373,1771.9812
374,374,5655.482
375,375,3442.0295
376,376,1928.1975
377,377,14982.553
378,378,4737.931
379,379,16284.14
380,380,15786.316
381,381,4134.5464
382,382,5424.4004
383,383,3001.6108
384,384,1538.0394
385,385,14359.281
386,386,6469.2725
387,387,12343.464
388,388,13326.421
389,389,1625.6925
390,390,2191.3418
391,391,6131.558
392,392,2475.4163
393,393,15068.4795
394,394,10705.033
395,395,6748.291
396,396,8769.962
397,397,1997.926
398,398,1611.7474
399,399,9524.088
400,400,5413.4116
401,401,30830.578
402,402,20616.012
403,403,4629.5576
404,404,12253.951
405,405,1669.0576
406,406,24979.182
407,407,14962.89
408,408,6532.4917
409,409,16671.145
410,410,3061.2722
411,411,24419.787
412,412,5380.2515
413,413,24595.031
414,414,17759.102
415,415,12210.634
416,416,15806.411
417,417,11971.281
418,418,10574.223
419,419,13776.875
420,420,4967.5366
421,421,19778.326
422,422,2778.5166
423,423,28741.574
424,424,824.7185
425,425,37348.938
426,426,1332.015
427,427,54953.957
428,428,8127.5254
429,429,63055.906
430,430,36717.508
431,431,53178.39
432,432,58593.14
433,433,15596.604
434,434,27884.834
435,435,19809.695
436,436,10676.673
437,437,30161.66
438,438,6405.7466
439,439,46003.71
440,440,10824.89
441,441,14536.758
442,442,118555.836
443,443,147527.4
444,444,27031.871
445,445,90898.08
446,446,192364.8
447,447,57305.25
448,448,36186.95
449,449,92363.92
450,450,24093.436
451,451,49347.05
452,452,76513.42
453,453,4433.9478
454,454,56018.49
455,455,54564.785
456,456,1331.3424
457,457,36735.18
458,458,11311.939
459,459,12189.233
460,460,25919.057
461,461,5595.233
462,462,17733.982
463,463,25371.48
464,464,2037.1489
465,465,24878.312
466,466,28220.723
467,467,2236.5986
468,468,29962.793
469,469,33721.848
470,470,1614.6531
471,471,28691.014
472,472,37011.45
473,473,7126.881
474,474,20379.426
475,475,40290.17
476,476,5135.5796
477,477,19460.47
478,478,34297.58
479,479,10949.921
480,480,10057.617
481,481,12749.675
482,482,6044.4834
483,483,8754.4795
484,484,5926.8726
485,485,4132.867
486,486,4820.3545
487,487,4289.838
488,488,4447.914
489,489,5216.6865
490,490,2880.886
491,491,7640.8193
492,492,4460.2627
493,493,6105.316
494,494,6532.829
495,495,4175.6177
496,496,4106.6646
497,497,3956.7212
498,498,2519.5886
499,499,5587.7324
500,500,3641.4734
501,501,5582.6143
502,502,4718.193
503,503,5433.97
504,504,5632.048
505,505,4169.782
506,506,2668.7124
507,507,6075.7354
508,508,3502.9663
509,509,5196.693
510,510,4016.459
511,511,4474.8906
512,512,3922.8572
513,513,4256.7476
514,514,3018.294
515,515,6080.787
516,516,4035.5864
517,517,4580.8125
518,518,3873.0046
519,519,4477.696
520,520,3774.0168
521,521,16642.027
522,522,7867.738
523,523,5525.3066
524,524,6563.259
525,525,1594.1373
526,526,2346.4294
527,527,5484.166
528,528,2677.3984
529,529,8401.861
530,530,4424.4766
531,531,7065.0474
532,532,8248.007
533,533,5165.874
534,534,4686.131
535,535,4434.9756
536,536,1579.4865
537,537,8741.648
538,538,5004.2812
539,539,7780.899
540,540,8527.531
541,541,2324.8977
542,542,2047.4169
543,543,3334.1816
544,544,1172.3779
545,545,8738.673
546,546,4699.881
547,547,6521.5146
548,548,7756.2617
549,549,2202.2085
550,550,2120.7124
551,551,3175.0476
552,552,1466.9587
553,553,8085.8623
554,554,4269.9043
555,555,7632.5835
556,556,7403.7993
557,557,2830.6233
558,558,2780.6326
559,559,2878.3154
560,560,1579.798
561,561,8121.0117
562,562,5458.36
563,563,7062.5586
564,564,5729.313
565,565,3160.8264
566,566,3014.7048
567,567,3819.3994
568,568,2958.4556
569,569,5333.2896
570,570,3282.4072
571,571,6613.714
572,572,5472.6104
573,573,3869.2227
574,574,3942.4575
575,575,3970.023
576,576,3135.344
577,577,4222.009
578,578,2352.5947
579,579,5831.7046
580,580,3888.4644
581,581,3912.4604
582,582,3260.832
583,583,3784.6982
584,584,2956.8345
585,585,3886.2979
586,586,2371.4988
587,587,4662.8027
588,588,3824.3574
589,589,3589.4607
590,590,2899.7688
591,591,4050.7554
592,592,2823.5
593,593,3986.5623
594,594,2676.2524
595,595,4314.4956
596,596,3638.966
597,597,3361.6733
598,598,2738.102
599,599,4278.951
600,600,3159.4753
601,601,16675.09
602,602,8009.6743
603,603,6940.227
604,604,10365.5625
605,605,874.5669
606,606,19720.047
607,607,9183.052
608,608,8031.1104
609,609,16846.941
610,610,1180.6118
611,611,28057.918
612,612,2716.8083
